iter	Logloss
0	0.6770221038
1	0.6638191496
2	0.6487755492
3	0.6352352447
4	0.6241979061
5	0.6144595805
6	0.6048938606
7	0.5964334786
8	0.5887528141
9	0.5812852074
10	0.5745029829
11	0.5685390623
12	0.5630254137
13	0.5586366152
14	0.5537926667
15	0.5472892058
16	0.5398270556
17	0.532999743
18	0.5275512055
19	0.5214362701
20	0.5164239672
21	0.5124163523
22	0.5077238407
23	0.5043975531
24	0.5007316321
25	0.4969730145
26	0.4942335799
27	0.4921779655
28	0.4891900496
29	0.4864646991
30	0.4840632403
31	0.4822975574
32	0.4800807726
33	0.4779723901
34	0.4760290082
35	0.4742697405
36	0.4730814
37	0.4709613003
38	0.4697970949
39	0.4672891483
40	0.4664968122
41	0.4649617429
42	0.4634918173
43	0.4621915367
44	0.4606564962
45	0.4593674452
46	0.4576045615
47	0.4563485665
48	0.4554518812
49	0.4546600094
