iter	Passed	Remaining
0	60	2944
1	73	1756
2	83	1310
3	97	1123
4	111	1005
5	125	923
6	136	840
7	149	784
8	160	730
9	166	666
10	172	613
11	179	567
12	184	524
13	190	491
14	196	459
15	202	429
16	208	404
17	213	379
18	220	359
19	225	338
20	231	319
21	238	303
22	243	286
23	249	269
24	260	260
25	265	245
26	271	231
27	277	218
28	283	205
29	288	192
30	294	180
31	299	168
32	309	159
33	314	148
34	321	137
35	326	126
36	332	116
37	339	107
38	345	97
39	351	87
40	356	78
41	360	68
42	366	59
43	371	50
44	376	41
45	382	33
46	388	24
47	393	16
48	399	8
49	403	0
