HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Group,GroupSize,CabinDeck,CabinNum,CabinSide,log_RoomService,log_FoodCourt,log_ShoppingMall,log_Spa,log_VRDeck,Surname,AgeBins,GroupBins,GroupSizeBins,CabinNumBins,log_RoomServiceBins,log_FoodCourtBins,log_ShoppingMallBins,log_SpaBins,log_VRDeckBins
Europa,False,TRAPPIST-1e,39.0,False,False,1.0,1,B,0.0,P,0.0,0.0,0.0,0.0,0.0,Ofracculy,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,24.0,False,True,2.0,1,F,0.0,S,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,Vines,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Europa,False,TRAPPIST-1e,58.0,True,False,3.0,2,A,0.0,S,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,Susent,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Europa,False,TRAPPIST-1e,33.0,False,False,3.0,2,A,0.0,S,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,Susent,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,16.0,False,True,4.0,1,F,1.0,S,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,Santantines,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,PSO J318.5-22,44.0,False,True,5.0,1,F,0.0,P,0.0,6.182084906716632,0.0,5.676753802268282,0.0,Hinetthews,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,26.0,False,True,6.0,2,F,2.0,S,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,Jacostaffey,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,28.0,False,True,6.0,2,G,0.0,S,0.0,0.0,0.0,0.0,0.0,Jacostaffey,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,35.0,False,True,7.0,1,F,3.0,S,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,Beston,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Europa,True,55 Cancri e,14.0,False,True,8.0,3,B,1.0,P,0.0,0.0,0.0,0.0,0.0,Flatic,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,True,TRAPPIST-1e,34.0,False,True,8.0,3,B,1.0,P,0.0,0.0,3.1900612684498824,0.0,0.0,Flatic,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,55 Cancri e,45.0,False,True,8.0,3,B,1.0,P,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,Flatic,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,32.0,False,True,9.0,1,F,1.0,P,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,Barne,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,48.0,False,False,10.0,1,G,1.0,S,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,Baketton,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,28.0,False,True,11.0,1,F,2.0,P,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,Bertsontry,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,31.0,False,False,12.0,1,G,-2.5460052555207207,S,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,Pooles,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]",,"(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,55 Cancri e,27.0,False,False,14.0,1,F,3.0,P,7.160069207596127,4.812184355372417,0.0,0.0,0.0,Eccle,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,24.0,False,False,15.0,1,F,4.0,P,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,Hughriend,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,True,TRAPPIST-1e,45.0,False,True,16.0,1,F,5.0,P,0.0,0.0,0.0,0.0,0.0,Upead,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,0.0,False,True,17.0,2,G,0.0,P,0.0,0.0,0.0,0.0,0.0,Brighttt,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,14.0,False,False,17.0,2,F,6.0,P,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,Brighttt,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,True,TRAPPIST-1e,1.0,False,False,20.0,6,E,0.0,S,0.0,0.0,0.0,0.0,0.0,Brantuarez,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,55 Cancri e,49.0,False,False,20.0,6,E,0.0,S,0.0,0.0,0.0,0.0,0.0,Brantuarez,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,55 Cancri e,29.0,False,False,20.0,6,E,0.0,S,0.0,0.0,0.0,0.0,0.0,Mcfaddennon,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,10.0,False,True,20.0,6,E,0.0,S,0.0,0.0,0.0,0.0,0.0,Jacostanley,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,PSO J318.5-22,1.0,False,False,20.0,6,E,0.0,S,0.0,0.0,0.0,0.0,0.0,Brantuarez,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
